words,links,capital_words,spam_word_count,is_spam
393,8,10,3,1
153,1,1,1,0
897,9,23,10,1
430,8,18,6,1
237,1,0,1,0
790,9,13,1,1
259,3,15,6,1
42,1,1,2,0
118,2,6,8,1
297,0,1,2,0
80,0,2,2,0
930,0,8,7,1
35,2,3,0,0
178,3,1,0,0
577,6,1,5,1
208,7,14,10,1
816,0,20,7,1
257,1,10,1,0
951,6,21,10,1
532,4,26,3,1
140,8,15,5,1
694,2,16,7,1
215,2,0,4,0
68,2,3,2,0
216,0,6,6,0
163,0,10,2,0
207,0,9,1,0
138,2,28,7,1
118,1,3,0,0
64,2,0,5,0
700,6,22,4,1
744,10,3,7,1
935,9,8,3,1
510,2,27,3,1
184,0,1,3,0
184,6,13,3,1
96,7,5,10,1
156,1,1,1,0
168,3,6,0,1
308,1,3,6,0
364,0,1,0,0
238,1,0,0,0
110,5,0,1,0
178,2,1,2,0
816,0,28,10,1
206,0,0,4,0
192,7,13,4,1
109,2,1,2,0
614,0,0,3,1
740,8,14,6,1
269,2,0,5,0
115,10,29,8,1
234,2,2,1,0
121,3,3,5,1
184,10,24,9,1
119,0,2,0,0
407,10,10,3,1
380,2,5,2,0
396,1,15,0,1
68,0,1,2,0
125,1,27,4,1
954,9,8,6,1
596,1,5,0,1
578,9,21,10,1
157,2,16,10,1
370,1,1,0,0
91,0,1,0,0
186,5,5,9,1
243,5,9,4,1
132,3,5,10,1
219,0,0,0,0
214,0,1,2,0
122,2,3,2,0
239,2,7,2,0
191,2,1,4,1
184,0,18,5,1
618,4,1,6,1
278,2,3,0,0
242,1,1,3,0
298,3,22,8,1
575,5,27,4,1
333,3,5,4,1
176,0,3,0,0
134,2,22,9,1
177,2,13,8,1
64,0,0,2,0
57,0,2,0,0
124,2,0,2,0
603,10,11,3,1
250,2,0,1,0
192,2,3,2,0
819,3,28,0,1
269,2,3,2,0
166,0,0,2,0
79,2,8,5,0
141,10,29,5,1
908,5,4,8,1
415,2,3,1,0
226,0,2,2,0
75,3,0,1,0
195,3,17,6,1
100,3,21,1,1
740,9,17,3,1
294,0,2,6,0
216,10,24,3,1
631,2,30,4,1
760,10,9,7,1
447,1,8,2,0
149,3,25,6,1
944,3,23,7,1
179,2,20,0,1
32,0,3,1,0
638,5,29,8,1
723,8,30,6,1
116,9,28,9,1
368,1,13,4,1
698,8,14,0,1
88,9,27,6,1
292,2,0,5,0
164,2,4,2,0
154,2,1,2,0
743,3,4,1,1
394,1,2,2,0
713,2,3,2,1
696,6,7,4,1
133,2,1,0,1
151,3,26,10,1
687,3,13,1,1
991,5,26,3,1
647,5,17,10,1
754,6,17,9,1
457,6,26,10,1
560,9,11,0,1
205,1,0,5,0
375,5,24,1,1
92,0,3,1,0
111,1,20,6,1
396,4,16,4,1
139,8,2,0,1
54,7,14,4,1
